timestamp,count,conns,read_bytes_total,latency_ms_sum
1564728600,94890462.0,425.0,11712986590000.0,592264346.7
1564728900,94964383.0,414.0,11722018380000.0,592796674.9
1564729200,95038849.0,402.0,11731333620000.0,593306187.4
1564729500,95111845.0,411.0,11740059180000.0,593716908.3
1564729800,95187760.0,417.0,11750003670000.0,594143870.1
1564730100,95252117.0,406.0,11758602160000.0,594599243.1
1564730400,95307389.0,404.0,11768298870000.0,595029716.3
1564730700,95361807.0,402.0,11777629560000.0,595503599.0
1564731000,95408599.0,402.0,11785041180000.0,595882097.3
1564731300,95450103.0,620.0,11788767700000.0,596213117.5
1564731600,95475081.0,516.0,11791539860000.0,596445977.7
1564731900,95495293.0,443.0,11794033630000.0,596629005.0
1564732200,95518299.0,439.0,11796882020000.0,596801567.1
1564732500,95542399.0,419.0,11799925010000.0,596969363.6
1564732800,95569284.0,423.0,11802459480000.0,597172892.7
1564733100,95595010.0,442.0,11804987650000.0,597314575.3
1564733400,95627658.0,450.0,11808051880000.0,597504568.4
1564733700,95718897.0,405.0,11812874430000.0,597715799.5
1564734000,95836591.0,389.0,11817920990000.0,597903121.3
1564734300,95941948.0,407.0,11822591640000.0,598099345.0
1564734600,95998084.0,389.0,11825985390000.0,598220456.7
1564734900,96031348.0,390.0,11832303760000.0,598414171.0
1564735200,96064898.0,384.0,11839548030000.0,598668945.7
1564735500,96095168.0,383.0,11846644150000.0,598879273.4
1564735800,96124148.0,371.0,11854058400000.0,599092429.3
1564736100,96153333.0,380.0,11862210630000.0,599298097.2
1564736400,96193951.0,351.0,11870375330000.0,599523010.8
1564736700,96233229.0,365.0,11878060190000.0,599718543.3
1564737000,96262017.0,351.0,11885872140000.0,599918034.0
1564737300,96318262.0,352.0,11894287000000.0,600146083.9
1564737600,96456252.0,358.0,11903740610000.0,600388436.3
1564737900,96492481.0,344.0,11912864020000.0,600663127.1
1564738200,96524032.0,347.0,11920479270000.0,600877666.7
1564738500,96557722.0,360.0,11928251590000.0,601099209.0
1564738800,96593558.0,359.0,11935627270000.0,601323230.2
1564739100,96630550.0,360.0,11942865300000.0,601521686.7
1564739400,96663200.0,345.0,11949765380000.0,601704414.7
1564739700,96701119.0,340.0,11957052050000.0,602077650.6
1564740000,96727624.0,323.0,11963999730000.0,602232020.3
1564740300,96754138.0,331.0,11970200060000.0,602373293.1
1564740600,96780785.0,323.0,11976424700000.0,602510579.2
1564740900,96813282.0,332.0,11982865630000.0,602675121.4
1564741200,96843909.0,341.0,11989170360000.0,602825091.3
1564741500,96877777.0,332.0,11995264030000.0,602961278.1
1564741800,96906568.0,334.0,12001800610000.0,603100786.1
1564742100,96934704.0,324.0,12007910460000.0,603233812.9
1564742400,96965053.0,314.0,12014327790000.0,603386157.2
1564742700,96999627.0,321.0,12020905330000.0,603549369.8
1564743000,97032441.0,314.0,12028686570000.0,603702380.7
1564743300,97109054.0,313.0,12059522130000.0,603896095.8
1564743600,97162734.0,292.0,12079351680000.0,604064236.0
1564743900,97193805.0,315.0,12085537920000.0,604233696.7
1564744200,97221729.0,326.0,12091601630000.0,604383326.8
1564744500,97249008.0,313.0,12097835150000.0,604526171.2
1564744800,97278647.0,415.0,12104548640000.0,604698858.6
1564745100,97310734.0,348.0,12111429240000.0,604911270.1
1564745400,97343188.0,337.0,12117891720000.0,605114387.4
1564745700,97375631.0,315.0,12124726710000.0,605276987.2
1564746000,97410780.0,300.0,12131839890000.0,605467661.5
1564746300,97445464.0,299.0,12138882090000.0,605620199.9
1564746600,97474770.0,289.0,12145281240000.0,605777041.1
1564746900,97502802.0,304.0,12150927650000.0,605909261.0
1564747200,97536591.0,293.0,12157532310000.0,606078337.7
1564747500,97568046.0,389.0,12163841530000.0,606238587.5
1564747800,97615482.0,384.0,12171662210000.0,606530970.5
1564748100,97657546.0,362.0,12178472040000.0,606732115.6
1564748400,97699035.0,339.0,12185243580000.0,606938006.7
1564748700,97745520.0,338.0,12192262930000.0,607195096.2
1564749000,97779829.0,342.0,12196470700000.0,607350369.9
1564749300,97806314.0,341.0,12200143570000.0,607460772.8
1564749600,97830598.0,328.0,12203810550000.0,607552178.7
1564749900,97861095.0,307.0,12208554840000.0,607669787.9
1564750200,97886870.0,316.0,12212781730000.0,607783853.6
1564750500,97909207.0,315.0,12216338120000.0,607882264.8
1564750800,97935563.0,316.0,12220033060000.0,607996832.4
1564751100,97964937.0,321.0,12224446000000.0,608138928.7
1564751400,97997665.0,329.0,12228854820000.0,608291237.5
1564751700,98033048.0,330.0,12232827170000.0,608427685.8
1564752000,98061852.0,326.0,12236600510000.0,608540478.7
1564752300,98086626.0,340.0,12240026380000.0,608632076.3
1564752600,98112938.0,330.0,12243981700000.0,608767243.4
1564752900,98141034.0,335.0,12248051800000.0,608883768.6
1564753200,98164803.0,326.0,12251585600000.0,608979577.9
1564753500,98186947.0,315.0,12255191220000.0,609086033.2
1564753800,98197375.0,307.0,12257866000000.0,609190033.5
1564754100,98204541.0,322.0,12260215380000.0,609273807.4
1564754400,98208376.0,296.0,12262043330000.0,609324443.2
1564754700,98217131.0,433.0,12264086660000.0,609408896.2
1564755000,98227085.0,395.0,12266054620000.0,609490309.9
1564755300,98245227.0,387.0,12268663250000.0,609625268.6
1564755600,98263120.0,390.0,12271551630000.0,609779204.6
1564755900,98286289.0,380.0,12274722690000.0,609961442.5
1564756200,98298166.0,376.0,12277147920000.0,610052339.7
1564756500,98312595.0,352.0,12279475020000.0,610175364.2
1564756800,98353517.0,331.0,12282875200000.0,610303054.8
1564757100,98363453.0,322.0,12285111370000.0,610405108.2
1564757400,98370010.0,317.0,12287099430000.0,610476391.3
1564757700,98377840.0,312.0,12288864190000.0,610537431.7
1564758000,98389876.0,304.0,12290697250000.0,610593517.6
1564758300,98399237.0,407.0,12292356320000.0,610663008.5
1564758600,98413344.0,387.0,12294321560000.0,610774367.6
1564758900,98430847.0,367.0,12296400880000.0,610875810.8
1564759200,98441624.0,363.0,12298316140000.0,610972474.0
1564759500,98451994.0,374.0,12300208440000.0,611083126.5
1564759800,98468537.0,413.0,12302807530000.0,611263922.6
1564760100,98486890.0,364.0,12305317790000.0,611392019.5
1564760400,98493350.0,346.0,12307281590000.0,611451285.0
1564760700,98504757.0,346.0,12309716730000.0,611559489.2
1564761000,98513307.0,331.0,12311827340000.0,611634023.9
1564761300,98535037.0,319.0,12314547180000.0,611760546.8
1564761600,98543485.0,336.0,12316746830000.0,611828634.6
1564761900,98551327.0,368.0,12318652720000.0,611899473.4
1564762200,98563943.0,365.0,12321371390000.0,612012460.9
1564762500,98578723.0,384.0,12323914890000.0,612136040.7
